authorLast,authorFirst,bookTitle,pubYear,pageCount,awardYear,awardName,awardAgency,awardType,bookType,bookAudience,language,primaryGenre,charGender,authorCount,linkGR.x,linkLT.x,authorDOB,authorGender,authorAge,authorRace,authorNationality,linkGR.y,linkLT.y,countGR,ratingGR,countLT,ratingLT
Tidhar,Lavie,Osama,2011,276,2012,World Fantasy Award,World Fantasy Convention,Juried,Novel,Adult,English,Sci-fi,Male,Primary,https://www.goodreads.com/book/show/12253064-osama,http://www.librarything.com/work/11504308,1976,Male,34,White,Israeli,https://www.goodreads.com/book/show/12253064-osama,http://www.librarything.com/work/11504308,1002,3.5,208,3.69
Toole,John Kennedy,A Confederacy of Dunces,1980,416,1981,Pulitzer Prize (Fiction),Pulitzer Prize,Juried,Novel,Adult,English,Experimental,Male,Primary,https://www.goodreads.com/book/show/310612.A_Confederacy_of_Dunces,http://www.librarything.com/work/4096291/book/24614851,1937,Male,42,White,American,https://www.goodreads.com/book/show/310612.A_Confederacy_of_Dunces,http://www.librarything.com/work/4096291/book/24614851,220454,3.89,17748,3.96
Tyler,Anne,Breathing Lessons,1988,350,1989,Pulitzer Prize (Fiction),Pulitzer Prize,Juried,Novel,Adult,English,Literary fiction,Female,Primary,https://www.goodreads.com/book/show/31181.Breathing_Lessons,http://www.librarything.com/work/2554460/book/175320098,1941,Female,46,White,American,https://www.goodreads.com/book/show/31181.Breathing_Lessons,http://www.librarything.com/work/2554460/book/175320098,22875,3.66,3706,3.6
Ugresic,Dubravka,Baba Yaga Laid an Egg,2009,336,2010,Otherwise Award,Award: Otherwise,Juried,Stories,Adult,Croatian,Fantasy,Female,Primary,https://www.goodreads.com/book/show/6011268-baba-yaga-laid-an-egg,http://www.librarything.com/work/7139276/book/153516711,1949,Female,59,White,Croatian,https://www.goodreads.com/book/show/6011268-baba-yaga-laid-an-egg,http://www.librarything.com/work/7139276/book/153516711,1311,3.65,294,3.68
Updike,John,Rabbit is Rich,1981,480,1982,Pulitzer Prize (Fiction),Pulitzer Prize,Juried,Novel,Adult,English,Literary fiction,Male,Primary,https://www.goodreads.com/book/show/85391.Rabbit_Is_Rich,http://www.librarything.com/work/25793/book/55701169,1932,Male,48,White,American,https://www.goodreads.com/book/show/85391.Rabbit_Is_Rich,http://www.librarything.com/work/25793/book/55701169,15152,3.9,2114,3.92
Updike,John,Rabbit at Rest,1990,606,1991,Pulitzer Prize (Fiction),Pulitzer Prize,Juried,Novel,Adult,English,Literary fiction,Male,Primary,https://www.goodreads.com/book/show/11666.Rabbit_at_Rest,http://www.librarything.com/work/1317319/book/55701171,1932,Male,57,White,American,https://www.goodreads.com/book/show/11666.Rabbit_at_Rest,http://www.librarything.com/work/1317319/book/55701171,14051,3.97,2114,3.9899999999999998
Valente,Catherynne M.,In the Night Garden,2006,496,2006,Otherwise Award,Award: Otherwise,Juried,Novel,YA,English,Fantasy,Mixed,Primary,https://www.goodreads.com/book/show/202769.In_the_Night_Garden,http://www.librarything.com/work/1745710/book/145953939,1979,Female,26,White,American,https://www.goodreads.com/book/show/202769.In_the_Night_Garden,http://www.librarything.com/work/1745710/book/145953939,6499,4.14,1308,4.26
Vance,Jack,Madouc,1989,426,1990,World Fantasy Award,World Fantasy Convention,Juried,Novel,Adult,English,Fantasy,Female,Primary,https://www.goodreads.com/book/show/40893.Madouc,http://www.librarything.com/work/120749,1916,Male,72,White,American,https://www.goodreads.com/book/show/40893.Madouc,http://www.librarything.com/work/120749,2192,4.15,609,4.05
VanderMeer,Jeff,Annihilation,2014,208,2015,Nebula Award,SFF Writers of America,Popular,Novel,Adult,English,Sci-fi,Female,Primary,https://www.goodreads.com/book/show/17934530-annihilation,http://www.librarything.com/work/14034594/book/112352819,1968,Male,45,White,American,https://www.goodreads.com/book/show/17934530-annihilation,http://www.librarything.com/work/14034594/book/112352819,139899,3.69,3540,3.7
Vinge,Joan D.,The Snow Queen,1980,496,1981,Hugo Award,World SF Society,Popular,Novel,Adult,English,Sci-fi,Female,Primary,https://www.goodreads.com/book/show/139986.The_Snow_Queen,http://www.librarything.com/work/67871/book/141052602,1948,Female,31,White,American,https://www.goodreads.com/book/show/139986.The_Snow_Queen,http://www.librarything.com/work/67871/book/141052602,11595,3.95,1922,3.9499999999999997
Vinge,Vernor,A Fire Upon the Deep,1992,624,1993,Hugo Award,World SF Society,Popular,Novel,Adult,English,Sci-fi,Mixed,Primary,https://www.goodreads.com/book/show/77711.A_Fire_Upon_the_Deep,http://www.librarything.com/work/18501/book/121648978,1944,Male,47,White,American,https://www.goodreads.com/book/show/77711.A_Fire_Upon_the_Deep,http://www.librarything.com/work/18501/book/121648978,49147,4.14,5058,4.109999999999999
Vinge,Vernor,A Deepness in the Sky,1999,800,2000,Hugo Award,World SF Society,Popular,Novel,Adult,English,Sci-fi,Male,Primary,https://www.goodreads.com/book/show/226004.A_Deepness_in_the_Sky,http://www.librarything.com/work/18498/book/121648997,1944,Male,54,White,American,https://www.goodreads.com/book/show/226004.A_Deepness_in_the_Sky,http://www.librarything.com/work/18498/book/121648997,27713,4.32,3338,4.26
