authorLast,authorFirst,bookTitle,pubYear,pageCount,listName,listRank,bookType,bookAudience,language,primaryGenre,charGender,authorCount,linkGR,linkLT,authorDOB,authorGender,authorAge,authorRace,authorNationality,countGR,ratingGR,countLT,ratingLT
Baldwin,James,Go Tell It on the Mountain,1953,240,Modern Library Board,39,Novel,Adult,English,Literary fiction,Male,Primary,https://www.goodreads.com/book/show/17143.Go_Tell_It_on_the_Mountain,http://www.librarything.com/work/8090/book/87205573,1924,Male,28,Black,American,39622,4.02,4038,3.8899999999999997
Ballard,J.G.,Crash,1973,224,American Book Review,40,Novel,Adult,English,Experimental,Male,Primary,https://www.goodreads.com/book/show/70241.Crash,http://www.librarything.com/work/7140/book/34800674,1930,Male,42,White,English,20343,3.59,2902,3.46
Barnes,Djuna,Nightwood,1936,208,American Book Review,52,Novel,Adult,English,Experimental,Mixed,Primary,https://www.goodreads.com/book/show/53101.Nightwood,http://www.librarything.com/work/12916/book/51581640,1892,Female,43,White,American,8349,3.66,2387,3.51
Barth,John,The Sot-Weed Factor,1960,768,American Book Review,42,Novel,Adult,English,Experimental,Male,Primary,https://www.goodreads.com/book/show/24835.The_Sot_Weed_Factor,http://www.librarything.com/work/46069/book/24187452,1930,Male,29,White,American,6630,4.09,1719,4.2
Barthelme,Donald,Sixty Stories,1981,480,American Book Review,25,Stories,Adult,English,Experimental,Mixed,Primary,https://www.goodreads.com/book/show/118345.Sixty_Stories,http://www.librarything.com/work/29676/book/64303109,1931,Male,49,White,American,5384,4.2,1336,4.14
Beckett,Samuel,Malone Dies,1951,210,American Book Review,6,Novel,Adult,French,Experimental,Male,Primary,https://www.goodreads.com/book/show/54042.Malone_Dies,http://www.librarything.com/work/103067/book/28883357,1906,Male,44,White,Irish,3463,3.88,657,3.82
Beckett,Samuel,Molloy,1951,256,American Book Review,6,Novel,Adult,French,Experimental,Male,Primary,https://www.goodreads.com/book/show/446542.Molloy,http://www.librarything.com/work/56659/book/28883322,1906,Male,44,White,Irish,5695,4.06,858,4.03
Beckett,Samuel,The Unnamable,1953,186,American Book Review,6,Novel,Adult,French,Experimental,Male,Primary,https://www.goodreads.com/book/show/78457.The_Unnamable,http://www.librarything.com/work/276374/book/28883399,1906,Male,46,White,Irish,1877,4.02,393,3.92
Beerbohm,Max,Zuleika Dobson,1911,220,Modern Library Board,59,Novel,Adult,English,Literary fiction,Male,Primary,https://www.goodreads.com/book/show/778463.Zuleika_Dobson,http://www.librarything.com/work/19983/book/87205989,1872,Male,38,White,English,4200,3.53,1405,3.4299999999999997
Bellow,Saul,Henderson the Rain King,1959,368,Modern Library Board,21,Novel,Adult,English,Literary fiction,Male,Primary,https://www.goodreads.com/book/show/52783.Henderson_the_Rain_King,http://www.librarything.com/work/10091/book/87205228,1915,Male,43,White,Canadian,13463,3.78,2403,3.72
