authorLast,authorFirst,bookTitle,pubYear,pageCount,awardYear,awardName,awardAgency,awardType,bookType,bookAudience,language,primaryGenre,charGender,authorCount,linkGR,linkLT,authorDOB,authorGender,authorAge,authorRace,authorNationality,countGR,countLT,ratingLT,ratingGR
Shawl,Nisi,Filter House,2008,288,2008,Otherwise Award,Award: Otherwise,Juried,Stories,Adult,English,Fantasy,Mixed,Primary,https://www.goodreads.com/book/show/3477242-filter-house,http://www.librarything.com/work/5559617/book/153454693,1955,Female,52,Black,American,327,154,3.94,4.01
Shields,Carol,The Stone Diaries,1993,361,1995,Pulitzer Prize (Fiction),Pulitzer Prize,Juried,Novel,Adult,English,Literary fiction,Female,Primary,https://www.goodreads.com/book/show/77554.The_Stone_Diaries,http://www.librarything.com/work/3060/book/175320170,1935,Female,57,White,Canadian,34957,4992,3.75,3.87
Silverberg,Robert,A Time of Changes,1971,304,1971,Nebula Award,SFF Writers of America,Popular,Novel,Adult,English,Sci-fi,Male,Primary,https://www.goodreads.com/book/show/1706646.A_Time_of_Changes,http://www.librarything.com/work/127967/book/155877537,1935,Male,35,White,American,2838,542,3.4,3.71
Simak,Clifford D.,Way Station,1963,236,1964,Hugo Award,World SF Society,Popular,Novel,Adult,English,Sci-fi,Male,Primary,https://www.goodreads.com/book/show/190999.Way_Station,http://www.librarything.com/work/19221/book/141877340,1904,Male,58,White,American,20370,1852,3.9499999999999997,4.04
Simmons,Dan,Hyperion,1989,481,1990,Hugo Award,World SF Society,Popular,Novel,Adult,English,Sci-fi,Mixed,Primary,https://www.goodreads.com/book/show/77566.Hyperion,http://www.librarything.com/work/23078/book/121644606,1948,Male,40,White,American,164876,8415,4.2,4.23
Sinclair,Upton,Dragon's Teeth,1942,662,1943,Pulitzer Prize (Fiction),Pulitzer Prize,Juried,Novel,Adult,English,Literary fiction,Male,Primary,https://www.goodreads.com/book/show/39078166-dragon-s-teeth,http://www.librarything.com/work/512507/book/149988880,1878,Male,63,White,American,510,218,3.82,3.95
Sinisalo,Johanna,Not Before Sundown,2000,240,2004,Otherwise Award,Award: Otherwise,Juried,Novel,Adult,Finnish,Fantasy,Male,Primary,https://www.goodreads.com/book/show/100485.Troll,http://www.librarything.com/work/53393/book/145953845,1958,Female,41,White,Finnish,3834,868,3.69,3.58
Smiley,Jane,A Thousand Acres,1991,371,1992,Pulitzer Prize (Fiction),Pulitzer Prize,Juried,Novel,Adult,English,Literary fiction,Mixed,Primary,https://www.goodreads.com/book/show/41193.A_Thousand_Acres,http://www.librarything.com/work/2310/book/175320131,1949,Female,41,White,American,55481,5233,3.71,3.81
Springer,Nancy,Larque on the Wing,1994,277,1994,Otherwise Award,Award: Otherwise,Juried,Novel,Adult,English,Fantasy,Mixed,Primary,https://www.goodreads.com/book/show/606933.Larque_on_the_Wing,http://www.librarything.com/work/94118/book/144825009,1948,Female,45,White,American,116,133,3.4,3.77
Stafford,Jean,The Collected Stories of Jean Stafford,1969,512,1970,Pulitzer Prize (Fiction),Pulitzer Prize,Juried,Stories,Adult,English,Literary fiction,Mixed,Primary,https://www.goodreads.com/book/show/805969.The_Collected_Stories_of_Jean_Stafford,http://www.librarything.com/work/1148681/book/175320025,1915,Female,53,White,American,1323,274,3.4099999999999997,3.74
