authorLast,authorFirst,bookTitle,pubYear,pageCount,awardYear,awardName,awardAgency,awardType,bookType,bookAudience,language,primaryGenre,charGender,authorCount,linkGR,linkLT,authorDOB,authorGender,authorAge,authorRace,authorNationality,countGR,countLT,ratingLT,ratingGR
Heinlein,Robert A.,Stranger in a Strange Land,1961,672,1962,Hugo Award,World SF Society,Popular,Novel,Adult,English,Sci-fi,Male,Primary,https://www.goodreads.com/book/show/350.Stranger_in_a_Strange_Land,http://www.librarything.com/work/6904/book/24476246,1907,Male,53,White,American,259948,8847,3.9099999999999997,3.92
Heinlein,Robert A.,The Moon is a Harsh Mistress,1966,384,1967,Hugo Award,World SF Society,Popular,Novel,Adult,English,Sci-fi,Male,Primary,https://www.goodreads.com/book/show/16690.The_Moon_is_a_Harsh_Mistress,http://www.librarything.com/work/7930/book/56005404,1907,Male,58,White,American,100934,8286,4.14,4.17
Heinlein,Robert A.,Double Star,1956,256,1956,Hugo Award,World SF Society,Popular,Novel,Adult,English,Sci-fi,Male,Primary,https://www.goodreads.com/book/show/175324.Double_Star,http://www.librarything.com/work/7502/book/56005278,1907,Male,48,White,American,18291,2534,3.71,3.89
Heinlein,Robert A.,Starship Troopers,1959,292,1960,Hugo Award,World SF Society,Popular,Novel,Adult,English,Sci-fi,Male,Primary,https://www.goodreads.com/book/show/17214.Starship_Troopers,http://www.librarything.com/work/7802/book/11725198,1907,Male,51,White,American,175102,9627,3.8699999999999997,4.01
Hemingway,Ernest,The Old Man and the Sea,1952,132,1953,Pulitzer Prize (Fiction),Pulitzer Prize,Juried,Novel,Adult,English,Literary fiction,Male,Primary,https://www.goodreads.com/book/show/2165.The_Old_Man_and_the_Sea,http://www.librarything.com/work/4933/book/11725257,1899,Male,52,White,American,735162,23051,3.7800000000000002,3.76
Herbert,Frank,Dune,1965,544,1966,Hugo Award,World SF Society,Popular,Novel,Adult,English,Sci-fi,Male,Primary,https://www.goodreads.com/book/show/44767458-dune,http://www.librarything.com/work/4041453/book/24476555,1920,Male,44,White,American,643820,28887,4.29,4.22
Herbert,Frank,Dune,1965,544,1966,Nebula Award,SFF Writers of America,Popular,Novel,Adult,English,Sci-fi,Male,Primary,https://www.goodreads.com/book/show/44767458-dune,http://www.librarything.com/work/4041453/book/24476555,1920,Male,44,White,American,643820,28887,4.29,4.22
Hersey,John,A Bell for Adano,1944,269,1945,Pulitzer Prize (Fiction),Pulitzer Prize,Juried,Novel,Adult,English,Literary fiction,Male,Primary,https://www.goodreads.com/book/show/415412.A_Bell_for_Adano,http://www.librarything.com/work/106178/book/24916491,1914,Male,29,White,American,7337,889,3.73,3.97
Hijuelos,Oscar,The Mambo Kings Play Songs of Love,1989,407,1990,Pulitzer Prize (Fiction),Pulitzer Prize,Juried,Novel,Adult,English,Literary fiction,Male,Primary,https://www.goodreads.com/book/show/294081.The_Mambo_Kings_Play_Songs_of_Love,http://www.librarything.com/work/83428/book/175320101,1951,Male,37,Hispanic,American,11246,1664,3.58,3.69
Jackson,Shelley,Half Life,2006,448,2006,Otherwise Award,Award: Otherwise,Juried,Novel,Adult,English,Sci-fi,Female,Primary,https://www.goodreads.com/book/show/47079.Half_Life,http://www.librarything.com/work/3162823/book/145953933,1963,Female,42,White,American,774,268,3.5,3.25
Jemisin,N.K.,The Fifth Season,2015,512,2016,Hugo Award,World SF Society,Popular,Novel,Adult,English,Fantasy,Mixed,Primary,https://www.goodreads.com/book/show/19161852-the-fifth-season,http://www.librarything.com/work/14231634/book/141878117,1972,Female,42,Black,American,101343,3004,4.2,4.31
Jemisin,N.K.,The Stone Sky,2017,464,2018,Hugo Award,World SF Society,Popular,Novel,Adult,English,Fantasy,Mixed,Primary,https://www.goodreads.com/book/show/31817749-the-stone-sky,http://www.librarything.com/work/18793407/book/155876197,1972,Female,44,Black,American,48657,1262,4.2700000000000005,4.35
Jemisin,N.K.,The Stone Sky,2017,464,2018,Nebula Award,SFF Writers of America,Popular,Novel,Adult,English,Fantasy,Mixed,Primary,https://www.goodreads.com/book/show/31817749-the-stone-sky,http://www.librarything.com/work/18793407/book/155876197,1972,Female,44,Black,American,48657,1262,4.2700000000000005,4.35
Jemisin,N.K.,The Obelisk Gate,2016,448,2017,Hugo Award,World SF Society,Popular,Novel,Adult,English,Fantasy,Mixed,Primary,https://www.goodreads.com/book/show/26228034-the-obelisk-gate,http://www.librarything.com/work/16518639/book/155876041,1972,Female,43,Black,American,62208,1560,4.21,4.32
Johnson,Adam,The Orphan Master's Son,2012,443,2013,Pulitzer Prize (Fiction),Pulitzer Prize,Juried,Novel,Adult,English,Literary fiction,Male,Primary,https://www.goodreads.com/book/show/11529868-the-orphan-master-s-son,http://www.librarything.com/work/11716098/book/155611941,1967,Male,44,NA,American,80504,2899,4.06,4.07
Johnson,Josephine Winslow,Now in November,1934,288,1935,Pulitzer Prize (Fiction),Pulitzer Prize,Juried,Novel,Adult,English,Literary fiction,Mixed,Primary,https://www.goodreads.com/book/show/267115.Now_in_November,http://www.librarything.com/work/850912/book/175319928,1910,Female,23,White,American,1304,206,3.4699999999999998,3.68
Jones,Edward P.,The Known World,2003,432,2004,Pulitzer Prize (Fiction),Pulitzer Prize,Juried,Novel,Adult,English,Literary fiction,Male,Primary,https://www.goodreads.com/book/show/67.The_Known_World,http://www.librarything.com/work/18258/book/175320166,1950,Male,52,Black,American,32888,5819,3.77,3.83
Jones,Gwyneth,White Queen,1991,316,1991,Otherwise Award,Award: Otherwise,Juried,Novel,Adult,English,Sci-fi,Mixed,Primary,https://www.goodreads.com/book/show/955166.White_Queen,http://www.librarything.com/work/49496/book/145952891,1952,Female,38,White,English,194,229,2.98,3.37
Kantor,MacKinlay,Andersonville,1955,766,1956,Pulitzer Prize (Fiction),Pulitzer Prize,Juried,Novel,Adult,English,Literary fiction,Male,Primary,https://www.goodreads.com/book/show/77239.Andersonville,http://www.librarything.com/work/65103/book/175319977,1904,Male,50,White,American,7144,972,4.04,4.11
Kennedy,William,Ironweed,1983,240,1984,Pulitzer Prize (Fiction),Pulitzer Prize,Juried,Novel,Adult,English,Literary fiction,Male,Primary,https://www.goodreads.com/book/show/267243.Ironweed,http://www.librarything.com/work/37306/book/64213618,1928,Male,54,White,American,15104,2067,3.82,3.86
Kessel,John,The Baum Plan for Financial Independence and Other Stories,2008,315,2002,Otherwise Award,Award: Otherwise,Juried,Stories,Adult,English,Sci-fi,Mixed,Primary,https://www.goodreads.com/book/show/2880461-the-baum-plan-for-financial-independence-and-other-stories,http://www.librarything.com/work/4853155/book/145953822,1950,Male,57,White,American,185,190,3.86,3.66
Keyes,Daniel,Flowers for Algernon,1966,324,1967,Nebula Award,SFF Writers of America,Popular,Novel,Adult,English,Sci-fi,Male,Primary,https://www.goodreads.com/book/show/36576608-flowers-for-algernon,http://www.librarything.com/work/2516333/book/24493669,1927,Male,38,White,American,433462,11493,4.1,4.12
Kiernan,Caitlin R.,The Drowning Girl,2012,352,2012,Otherwise Award,Award: Otherwise,Juried,Novel,Adult,English,Fantasy,Female,Primary,https://www.goodreads.com/book/show/11515328-the-drowning-girl,http://www.librarything.com/work/11366773/book/153513942,1964,Female,47,White,American,3950,468,3.7600000000000002,3.73
Kowal,Mary Robinette,The Calculating Stars,2018,431,2019,Hugo Award,World SF Society,Popular,Novel,Adult,English,Sci-fi,Female,Primary,https://www.goodreads.com/book/show/33080122-the-calculating-stars,http://www.librarything.com/work/20547312/book/175527953,1969,Female,48,White,American,12189,669,4.01,4.08
Kowal,Mary Robinette,The Calculating Stars,2018,431,2019,Nebula Award,SFF Writers of America,Popular,Novel,Adult,English,Sci-fi,Female,Primary,https://www.goodreads.com/book/show/33080122-the-calculating-stars,http://www.librarything.com/work/20547312/book/175527953,1969,Female,48,White,American,12189,669,4.01,4.08
La Farge,Oliver,Laughing Boy,1929,193,1930,Pulitzer Prize (Fiction),Pulitzer Prize,Juried,Novel,Adult,English,Literary fiction,Male,Primary,https://www.goodreads.com/book/show/1160780.Laughing_Boy,http://www.librarything.com/work/761672/book/175319891,1901,Male,27,White,American,3086,546,3.71,3.74
Lahiri,Jhumpa,Interpreter of Maladies,1999,198,2000,Pulitzer Prize (Fiction),Pulitzer Prize,Juried,Stories,Adult,English,Literary fiction,Mixed,Primary,https://www.goodreads.com/book/show/5439.Interpreter_of_Maladies,http://www.librarything.com/work/8509221/book/138048206,1967,Female,31,Asian,English,149652,9986,4.08,4.14
Le Guin,Ursula K.,The Left Hand of Darkness,1969,320,1970,Hugo Award,World SF Society,Popular,Novel,Adult,English,Sci-fi,Male,Primary,https://www.goodreads.com/book/show/18423.The_Left_Hand_of_Darkness,http://www.librarything.com/work/23117/book/121644001,1929,Female,39,White,American,104179,11308,4.05,4.06
Le Guin,Ursula K.,The Left Hand of Darkness,1969,320,1970,Nebula Award,SFF Writers of America,Popular,Novel,Adult,English,Sci-fi,Male,Primary,https://www.goodreads.com/book/show/18423.The_Left_Hand_of_Darkness,http://www.librarything.com/work/23117/book/121644001,1929,Female,39,White,American,104179,11308,4.05,4.06
Le Guin,Ursula K.,Tehanu,1990,288,1991,Nebula Award,SFF Writers of America,Popular,Novel,YA,English,Fantasy,Female,Primary,https://www.goodreads.com/book/show/13661.Tehanu,http://www.librarything.com/work/2860311/book/64319647,1929,Female,60,White,American,30942,4143,3.8,3.94
Le Guin,Ursula K.,The Dispossessed,1974,400,1975,Hugo Award,World SF Society,Popular,Novel,Adult,English,Sci-fi,Male,Primary,https://www.goodreads.com/book/show/13651.The_Dispossessed,http://www.librarything.com/work/21142/book/121648141,1929,Female,44,White,American,74778,7545,4.14,4.21
Le Guin,Ursula K.,The Dispossessed,1974,400,1975,Nebula Award,SFF Writers of America,Popular,Novel,Adult,English,Sci-fi,Male,Primary,https://www.goodreads.com/book/show/13651.The_Dispossessed,http://www.librarything.com/work/21142/book/121648141,1929,Female,44,White,American,74778,7545,4.14,4.21
Le Guin,Ursula K.,Powers,2007,502,2009,Nebula Award,SFF Writers of America,Popular,Novel,YA,English,Fantasy,Male,Primary,https://www.goodreads.com/book/show/68020.Powers,http://www.librarything.com/work/3019114/book/155885015,1929,Female,77,White,American,3909,762,4.05,3.99
Le Guin,Ursula K.,The Birthday of the World and Other Stories,2002,384,1994,Otherwise Award,Award: Otherwise,Juried,Stories,Adult,English,Sci-fi,Mixed,Primary,https://www.goodreads.com/book/show/68021.The_Birthday_of_the_World_and_Other_Stories,http://www.librarything.com/work/160911/book/145592490,1929,Female,72,White,American,3866,1073,4.1499999999999995,4.3
Le Guin,Ursula K.,The Birthday of the World and Other Stories,2002,384,1996,Otherwise Award,Award: Otherwise,Juried,Stories,Adult,English,Sci-fi,Mixed,Primary,https://www.goodreads.com/book/show/68021.The_Birthday_of_the_World_and_Other_Stories,http://www.librarything.com/work/160911/book/145592490,1929,Female,72,White,American,3866,1073,4.1499999999999995,4.3
Leckie,Ann,Ancillary Justice,2013,416,2014,Hugo Award,World SF Society,Popular,Novel,Adult,English,Sci-fi,Mixed,Primary,https://www.goodreads.com/book/show/17333324-ancillary-justice,http://www.librarything.com/work/14046991/book/141606714,1966,Female,46,White,American,69847,3456,3.9899999999999998,3.98
Leckie,Ann,Ancillary Justice,2013,416,2014,Nebula Award,SFF Writers of America,Popular,Novel,Adult,English,Sci-fi,Mixed,Primary,https://www.goodreads.com/book/show/17333324-ancillary-justice,http://www.librarything.com/work/14046991/book/141606714,1966,Female,46,White,American,69847,3456,3.9899999999999998,3.98
Lee,Harper,To Kill a Mockingbird,1960,324,1961,Pulitzer Prize (Fiction),Pulitzer Prize,Juried,Novel,YA,English,Literary fiction,Female,Primary,https://www.goodreads.com/book/show/2657.To_Kill_a_Mockingbird,http://www.librarything.com/work/3092/book/11727116,1926,Female,33,White,American,4066573,60913,4.39,4.27
Leiber,Fritz,The Big Time,1958,130,1958,Hugo Award,World SF Society,Popular,Novel,Adult,English,Sci-fi,Female,Primary,https://www.goodreads.com/book/show/102281.The_Big_Time,http://www.librarything.com/work/148762/book/144659032,1910,Male,47,White,American,2880,931,3.12,3.28
Leiber,Fritz,The Wanderer,1964,320,1965,Hugo Award,World SF Society,Popular,Novel,Adult,English,Sci-fi,Mixed,Primary,https://www.goodreads.com/book/show/218709.The_Wanderer,http://www.librarything.com/work/21364/book/144659036,1910,Male,53,White,American,2706,887,3.2600000000000002,3.46
Lewis,Sinclair,Arrowsmith,1925,480,1926,Pulitzer Prize (Fiction),Pulitzer Prize,Juried,Novel,Adult,English,Literary fiction,Male,Primary,https://www.goodreads.com/book/show/11389.Arrowsmith,http://www.librarything.com/work/92837/book/87234488,1885,Male,39,White,American,6490,1662,3.77,3.82
Link,Kelly,Stranger Things Happen,2001,266,1997,Otherwise Award,Award: Otherwise,Juried,Stories,Adult,English,Fantasy,Mixed,Primary,https://www.goodreads.com/book/show/66659.Stranger_Things_Happen,http://www.librarything.com/work/43186/book/145953301,1969,Female,31,White,American,5227,1465,4.03,3.84
Liu,Cixin,The Three-Body Solution,2006,416,2015,Hugo Award,World SF Society,Popular,Novel,Adult,Chinese,Sci-fi,Mixed,Primary,https://www.goodreads.com/book/show/20518872-the-three-body-problem,http://www.librarything.com/work/14831230/book/140910123,1963,Male,42,Asian,Chinese,107959,3258,3.74,4.06
Lurie,Alison,Foreign Affairs,1984,292,1985,Pulitzer Prize (Fiction),Pulitzer Prize,Juried,Novel,Adult,English,Literary fiction,Mixed,Primary,https://www.goodreads.com/book/show/202897.Foreign_Affairs,http://www.librarything.com/work/102472/book/150346380,1926,Female,57,White,American,9147,1116,3.64,3.73
Mailer,Norman,The Executioner's Song,1979,1056,1980,Pulitzer Prize (Fiction),Pulitzer Prize,Juried,Novel,Adult,English,Experimental,Male,Primary,https://www.goodreads.com/book/show/12468.The_Executioner_s_Song,http://www.librarything.com/work/104529/book/87275360,1923,Male,55,White,American,17534,2329,3.9899999999999998,4.06
Malamud,Bernard,The Fixer,1966,335,1967,Pulitzer Prize (Fiction),Pulitzer Prize,Juried,Novel,Adult,English,Literary fiction,Male,Primary,https://www.goodreads.com/book/show/3066.The_Fixer,http://www.librarything.com/work/19733/book/175320018,1914,Male,51,White,American,9332,1859,3.9,3.96
Marquand,John P.,The Late George Apley,1937,368,1938,Pulitzer Prize (Fiction),Pulitzer Prize,Juried,Novel,Adult,English,Literary fiction,Mixed,Primary,https://www.goodreads.com/book/show/267418.The_Late_George_Apley,http://www.librarything.com/work/259433/book/175319933,1893,Male,43,White,American,2109,542,3.66,3.69
McCarthy,Cormac,The Road,2006,241,2007,Pulitzer Prize (Fiction),Pulitzer Prize,Juried,Novel,Adult,English,Sci-fi,Male,Primary,https://www.goodreads.com/book/show/6288.The_Road,http://www.librarything.com/work/1222607/book/11269746,1933,Male,72,White,American,657566,27601,4.07,3.96
McDevitt,Jack,Seeker,2005,373,2007,Nebula Award,SFF Writers of America,Popular,Novel,Adult,English,Sci-fi,Male,Primary,https://www.goodreads.com/book/show/352777.Seeker,http://www.librarything.com/work/49039/book/155884396,1935,Male,69,White,American,6821,1107,3.73,3.91
McHugh,Maureen F.,China Mountain Zhang,1992,313,1992,Otherwise Award,Award: Otherwise,Juried,Novel,Adult,English,Sci-fi,Male,Primary,https://www.goodreads.com/book/show/836964.China_Mountain_Zhang,http://www.librarything.com/work/23052/book/141075089,1959,Female,32,White,American,3539,1071,4.02,3.94
McIntyre,Vonda N.,The Moon and the Sun,1997,432,1998,Nebula Award,SFF Writers of America,Popular,Novel,Adult,English,Fantasy,Female,Primary,https://www.goodreads.com/book/show/263023.The_Moon_and_the_Sun,http://www.librarything.com/work/115962/book/155883935,1948,Female,48,White,American,1657,650,3.4099999999999997,3.62
McIntyre,Vonda N.,Dreamsnake,1978,313,1979,Hugo Award,World SF Society,Popular,Novel,Adult,English,Sci-fi,Female,Primary,https://www.goodreads.com/book/show/263021.Dreamsnake,http://www.librarything.com/work/152972/book/141877792,1948,Female,29,White,American,8581,1487,3.88,3.86
McIntyre,Vonda N.,Dreamsnake,1978,313,1979,Nebula Award,SFF Writers of America,Popular,Novel,Adult,English,Sci-fi,Female,Primary,https://www.goodreads.com/book/show/263021.Dreamsnake,http://www.librarything.com/work/152972/book/141877792,1948,Female,29,White,American,8581,1487,3.88,3.86
McLemore,Anna-Marie,When the Moon was Ours,2016,288,2016,Otherwise Award,Award: Otherwise,Juried,Novel,YA,English,Fantasy,Mixed,Primary,https://www.goodreads.com/book/show/28220826-when-the-moon-was-ours,http://www.librarything.com/work/16935668/book/153527767,NA,Female,NA,Hispanic,American,6062,400,3.9,3.93
McMurtry,Larry,Lonesome Dove,1985,945,1986,Pulitzer Prize (Fiction),Pulitzer Prize,Juried,Novel,Adult,English,Western,Mixed,Primary,https://www.goodreads.com/book/show/256008.Lonesome_Dove,http://www.librarything.com/work/4392/book/11727903,1936,Male,48,White,American,135737,6244,4.55,4.49
McPherson,James Alan,Elbow Room,1977,288,1978,Pulitzer Prize (Fiction),Pulitzer Prize,Juried,Stories,Adult,English,Literary fiction,Mixed,Primary,https://www.goodreads.com/book/show/538059.Elbow_Room,http://www.librarything.com/work/83768/book/175320051,1943,Male,33,Black,American,1543,244,3.1,3.7
Michener,James A.,Tales of the South Pacific,1947,384,1948,Pulitzer Prize (Fiction),Pulitzer Prize,Juried,Stories,Adult,English,Literary fiction,Mixed,Primary,https://www.goodreads.com/book/show/133488.Tales_of_the_South_Pacific,http://www.librarything.com/work/147414/book/87236756,1907,Male,39,White,American,13698,1399,3.67,4.04
Mieville,China,The City and the City,2009,352,2010,Hugo Award,World SF Society,Popular,Novel,Adult,English,Fantasy,Male,Primary,https://www.goodreads.com/book/show/4703581-the-city-the-city,http://www.librarything.com/work/7702396/book/87236557,1972,Male,36,White,English,47252,4711,3.98,3.91
Miller,Caroline,Lamb in His Bosom,1933,357,1934,Pulitzer Prize (Fiction),Pulitzer Prize,Juried,Novel,Adult,English,Literary fiction,Mixed,Primary,https://www.goodreads.com/book/show/267478.Lamb_in_His_Bosom,http://www.librarything.com/work/145682/book/175319918,1903,Female,29,White,American,1416,193,3.8099999999999996,3.83
"Miller, Jr.",Walter M.,A Canticle for Leibowitz,1959,352,1961,Hugo Award,World SF Society,Popular,Novel,Adult,English,Sci-fi,Male,Primary,https://www.goodreads.com/book/show/164154.A_Canticle_for_Leibowitz,http://www.librarything.com/work/48053/book/24524031,1923,Male,35,White,American,84370,9103,3.9499999999999997,3.98
Millhauser,Steven,Martin Dressler: The Tale of an American Dreamer,1996,306,1997,Pulitzer Prize (Fiction),Pulitzer Prize,Juried,Novel,Adult,English,Literary fiction,Male,Primary,https://www.goodreads.com/book/show/40856825-martin-dressler,http://www.librarything.com/work/7303/book/175320169,1943,Male,52,White,American,8998,1407,3.58,3.57
Mitchell,Margaret,Gone with the Wind,1936,1037,1937,Pulitzer Prize (Fiction),Pulitzer Prize,Juried,Novel,Adult,English,Romance,Mixed,Primary,https://www.goodreads.com/book/show/18405.Gone_with_the_Wind,http://www.librarything.com/work/34878/book/24524116,1900,Female,35,White,American,1012991,18706,4.3,4.29
Momaday,N. Scott,House Made of Dawn,1968,198,1969,Pulitzer Prize (Fiction),Pulitzer Prize,Juried,Novel,Adult,English,Literary fiction,Male,Primary,https://www.goodreads.com/book/show/110996.House_Made_of_Dawn,http://www.librarything.com/work/53716/book/175320020,1934,Male,33,Native American,American,6140,1393,3.51,3.67
Moon,Elizabeth,The Speed of Dark,2002,384,2004,Nebula Award,SFF Writers of America,Popular,Novel,Adult,English,Sci-fi,Male,Primary,https://www.goodreads.com/book/show/96063.The_Speed_of_Dark,http://www.librarything.com/work/15604/book/155884222,1945,Female,56,White,American,9625,1911,4,4
Morrison,Toni,Beloved,1987,324,1988,Pulitzer Prize (Fiction),Pulitzer Prize,Juried,Novel,Adult,English,Literary fiction,Female,Primary,https://www.goodreads.com/book/show/6149.Beloved,http://www.librarything.com/work/2182/book/25964445,1931,Female,55,Black,American,289967,17422,3.88,3.82
Murphy,Pat,The Falling Woman,1986,287,1988,Nebula Award,SFF Writers of America,Popular,Novel,Adult,English,Fantasy,Female,Primary,https://www.goodreads.com/book/show/593791.The_Falling_Woman,http://www.librarything.com/work/94151/book/141075685,1955,Female,30,White,American,1601,552,3.71,3.62
Ness,Patrick,The Knife of Never Letting Go,2008,512,2008,Otherwise Award,Award: Otherwise,Juried,Novel,YA,English,Sci-fi,Male,Primary,https://www.goodreads.com/book/show/20758104-the-knife-of-never-letting-go,http://www.librarything.com/work/5400850/book/112333409,1971,Male,36,White,English,140550,4659,4.03,3.97
Nguyen,Viet Thanh,The Sympathizer,2015,371,2016,Pulitzer Prize (Fiction),Pulitzer Prize,Juried,Novel,Adult,English,Literary fiction,Male,Primary,https://www.goodreads.com/book/show/23168277-the-sympathizer,http://www.librarything.com/work/15254537/book/175320229,1971,Male,43,Asian,Vietnamese,59788,1879,3.9,4
Niven,Larry,Ringworld,1970,352,1971,Hugo Award,World SF Society,Popular,Novel,Adult,English,Sci-fi,Male,Primary,https://www.goodreads.com/book/show/61179.Ringworld,http://www.librarything.com/work/6899/book/56008158,1938,Male,31,White,American,96568,7861,3.79,3.96
Niven,Larry,Ringworld,1970,352,1971,Nebula Award,SFF Writers of America,Popular,Novel,Adult,English,Sci-fi,Male,Primary,https://www.goodreads.com/book/show/61179.Ringworld,http://www.librarything.com/work/6899/book/56008158,1938,Male,31,White,American,96568,7861,3.79,3.96
Novik,Naomi,Uprooted,2015,464,2016,Nebula Award,SFF Writers of America,Popular,Novel,YA,English,Fantasy,Female,Primary,https://www.goodreads.com/book/show/22544764-uprooted,http://www.librarything.com/work/15087064/book/155885191,1973,Female,41,White,American,136735,3342,4.159999999999999,4.09
O'Connor,Edwin,The Edge of Sadness,1961,646,1962,Pulitzer Prize (Fiction),Pulitzer Prize,Juried,Novel,Adult,English,Literary fiction,Male,Primary,https://www.goodreads.com/book/show/87202.The_Edge_of_Sadness,http://www.librarything.com/work/160158/book/175320000,1918,Male,42,White,American,2162,335,3.8699999999999997,3.87
